"TIPO_VIA","NOMBRE_VIA","NUMERO_VIA","DIRECCION","PROVINCIA","MUNICIPIO","FRECUENCIA","id"
"CL","ESPERANZA TRINIDAD",2,"ESPERANZA TRINIDAD 2",41,41091,8,28
"CL","LEON XIII",78,"LEON XIII 78",41,41091,68,29
"CL","PAQUIRO",3,"PAQUIRO 3",41,41091,57,30
"CL","SAN LUIS",14,"SAN LUIS 14",41,41091,19,31
"CL","COMPRENSION",49,"COMPRENSION 49",41,41091,9,32
"CL","PELAY CORREA",,"PELAY CORREA ",41,41091,1,33
"GR","ALMENAS (LAS)",,"ALMENAS (LAS) ",41,41091,235,34
"AV","DEPORTE (EL)",1,"DEPORTE (EL) 1",41,41091,58,35
"CL","LAVANDERAS",1,"LAVANDERAS 1",41,41091,74,36
"CL","MANUEL ARELLANO",22,"MANUEL ARELLANO 22",41,41091,34,37
"CL","ALFAFAR",7,"ALFAFAR 7",41,41091,1,38
"CL","AJUSTADORES",4,"AJUSTADORES 4",41,41091,31,39
"CL","FABIE",20,"FABIE 20",41,41091,27,40
"CL","CIUDAD DE PATERNA",4,"CIUDAD DE PATERNA 4",41,41091,43,41
"CL","TARFIA",7,"TARFIA 7",41,41091,26,42
"CL","CRUZ DEL SUR",13,"CRUZ DEL SUR 13",41,41091,96,43
"CL","LA CALESERA",11,"LA CALESERA 11",41,41091,47,44
"PZ","PZA DE LOS LUCEROS 1 PTA 11",1,"PZA DE LOS LUCEROS 1 PTA 11 1",41,41091,1,45
"CL","HEROES DE TOLEDO",49,"HEROES DE TOLEDO 49",41,41091,14,46
"CL","ALCALDE JOSE DE LA BANDERA",5,"ALCALDE JOSE DE LA BANDERA 5",41,41091,25,47
"CL","SAUCO",7,"SAUCO 7",41,41091,5,48
"CL","LUIS MONTOTO",125,"LUIS MONTOTO 125",41,41091,25,49
"CL","PERIODISTA RAMON RESA",13,"PERIODISTA RAMON RESA 13",41,41091,90,50
"AV","EDUARDO DATO (DE)",67,"EDUARDO DATO (DE) 67",41,41091,3,51
"CL","MAR JONICO",2,"MAR JONICO 2",41,41091,61,52
"CL","BORDADOR RODRIGUEZ OJEDA",17,"BORDADOR RODRIGUEZ OJEDA 17",41,41091,7,53
"AV","FELIPE II",22,"FELIPE II 22",41,41091,22,54
"CL","MANUEL CASANA",15,"MANUEL CASANA 15",41,41091,45,55
"CL","FRAY DIEGO DE OJEDA",23,"FRAY DIEGO DE OJEDA 23",41,41091,4,56
"CL","VIRGEN DE LUJAN",45,"VIRGEN DE LUJAN 45",41,41091,88,57
"CL","ALGAMITAS",4,"ALGAMITAS 4",41,41091,13,58
"AV","PAZ",65,"PAZ 65",41,41091,2,59
"CL","EDUARDO MARQUINA",10,"EDUARDO MARQUINA 10",41,41091,4,60
,"OSCAR CARBALLO 3,4-D",,"OSCAR CARBALLO 3,4-D ",41,41091,1,61
"CL","PERIS MENCHETA",15,"PERIS MENCHETA 15",41,41091,1,62
"CL","ALMAR",1,"ALMAR 1",41,41091,30,63
"LG","APRTADO DE CORREOS 17221",,"APRTADO DE CORREOS 17221 ",41,41091,2,64
"CL","ALBERIQUE",17,"ALBERIQUE 17",41,41091,7,65
"CL","MARQUES DE LUCA DE TENA",32,"MARQUES DE LUCA DE TENA 32",41,41091,30,66
"CL","CLEMENTINAS",17,"CLEMENTINAS 17",41,41091,63,67
"CL","NESCANIA",15,"NESCANIA 15",41,41091,105,68
"CL","PADRE JOSE SEBASTIAN BANDARAN",4,"PADRE JOSE SEBASTIAN BANDARAN 4",41,41091,89,69
"CL","GENARO PARLADE",10,"GENARO PARLADE 10",41,41091,63,70
"CL","LANZA",16,"LANZA 16",41,41091,14,71
"AV","ALTAMIRA",29,"ALTAMIRA 29",41,41091,470,72
"CL","UMBRETE",18,"UMBRETE 18",41,41091,1,73
"AV","28 FEBRERO",17,"28 FEBRERO 17",41,41091,2,74
,"RAMON DE CARRANZA 22 5-A",,"RAMON DE CARRANZA 22 5-A ",41,41091,1,75
"CL","LUIS MONTOTO",43,"LUIS MONTOTO 43",41,41091,183,76
"CL","FERNANDO IV",40,"FERNANDO IV 40",41,41091,87,77
"CL","MAR DE ALBORAN",7,"MAR DE ALBORAN 7",41,41091,21,78
"CL","BRISA",10,"BRISA 10",41,41091,10,79
"CL","POETA FERNANDO DE LOS RIOS",6,"POETA FERNANDO DE LOS RIOS 6",41,41091,29,80
"CL","ANAYA Y MALDONADO",1,"ANAYA Y MALDONADO 1",41,41091,32,81
"CL","BENIDORM",5,"BENIDORM 5",41,41091,158,82
"AV","RAMON CARANDE",7,"RAMON CARANDE 7",41,41091,347,83
"CL","REINA DE LOS CIELOS",2,"REINA DE LOS CIELOS 2",41,41091,23,84
"AV","CIENCIAS, EDIFICIO BECQUER",28,"CIENCIAS, EDIFICIO BECQUER 28",41,41091,1,85
"AV","EMILIO LEMOS",3,"EMILIO LEMOS 3",41,41091,30,86
"CL","ILDEFONSO MARAºON LAVIN",9,"ILDEFONSO MARAºON LAVIN 9",41,41091,4,87
"AV","DE LA PAZ",,"DE LA PAZ ",41,41091,109,88
"CL","FLORENCIO QUINTERO",15,"FLORENCIO QUINTERO 15",41,41091,43,89
"BD","LA OLIVA,",124,"LA OLIVA, 124",41,41091,1,90
"CL","JUAN DIAZ DE SOLIS",13,"JUAN DIAZ DE SOLIS 13",41,41091,33,91
"CL","TARTESSOS",11,"TARTESSOS 11",41,41091,57,92
"CL","PRIMAVERA",13,"PRIMAVERA 13",41,41091,82,93
"AV","MIRAFLORES - RESTAURANTE CHINO",72,"MIRAFLORES - RESTAURANTE CHINO 72",41,41091,2,94
"CL","COMANDANTE MORALES LEON",2,"COMANDANTE MORALES LEON 2",41,41091,54,95
"CL","JUAN PABLOS",21,"JUAN PABLOS 21",41,41091,96,96
"AV","SAN JUAN DE LA SALLE",71,"SAN JUAN DE LA SALLE 71",41,41091,28,97
"CL"," BALONCETO",49," BALONCETO 49",41,41091,1,98
"CL","COLONIA",3,"COLONIA 3",41,41091,39,99
"CL","SAMANIEGO 24",,"SAMANIEGO 24 ",41,41091,1,100
"CL","PEDRO PEREZ FDEZ 14 3 C",0,"PEDRO PEREZ FDEZ 14 3 C 0",41,41091,1,101
"CL","CARDENAL BUENO MONREAL",4,"CARDENAL BUENO MONREAL 4",41,41091,25,102
"CL","CONDE DE BARAJAS",8,"CONDE DE BARAJAS 8",41,41091,4,103
"CL","ERCILLA",1,"ERCILLA 1",41,41091,4,104
"CL","ANTONIO CORTES LLADO",9,"ANTONIO CORTES LLADO 9",41,41091,8,105
"AV","DOÑA FRANCISQUITA",20,"DOÑA FRANCISQUITA 20",41,41091,47,106
"CL","TRABAJO",7,"TRABAJO 7",41,41091,32,107
"CL","ENRAMADILLA",3,"ENRAMADILLA 3",41,41091,67,108
"CL","JOSE RECUERDA RUBIO",5,"JOSE RECUERDA RUBIO 5",41,41091,98,109
"CL","NESCANIA",3,"NESCANIA 3",41,41091,82,110
"AV","MARIA AUXILIADORA",2,"MARIA AUXILIADORA 2",41,41091,21,111
"CL","CEFIRO, EDF- PANORAMA",9,"CEFIRO, EDF- PANORAMA 9",41,41091,1,112
"CL","BAMI",15,"BAMI 15",41,41091,22,113
"CL","HOMBRE DE PIEDRA",8,"HOMBRE DE PIEDRA 8",41,41091,14,114
"PZ","MORAVIA",6,"MORAVIA 6",41,41091,26,115
"CL","JOSE LAGUILLO",28,"JOSE LAGUILLO 28",41,41091,158,116
"CL","MORAVIA",6,"MORAVIA 6",41,41091,15,117
"CL","ESTRELLA PROCION",5,"ESTRELLA PROCION 5",41,41091,52,118
"PZ","VIRGEN DE LOS DOLORES",2,"VIRGEN DE LOS DOLORES 2",41,41091,35,119
"CL","JOSE LUIS DE CASSO 3",0,"JOSE LUIS DE CASSO 3 0",41,41091,1,120
"CL","RECTOR CANDIL",2,"RECTOR CANDIL 2",41,41091,96,121
"AV","BELLAVISTA EDF PALOMA",183,"BELLAVISTA EDF PALOMA 183",41,41091,1,122
"PJ","FRANCISCO MOLINA",4,"FRANCISCO MOLINA 4",41,41091,24,123
"CL","VIRGEN DE LA ANTIGUA",28,"VIRGEN DE LA ANTIGUA 28",41,41091,89,124
"CL","SOLEDADES",3,"SOLEDADES 3",41,41091,45,125
"CL","SEGUIRILLA",1,"SEGUIRILLA 1",41,41091,15,126
"CL","MARIA AUXILIADORA",15,"MARIA AUXILIADORA 15",41,41091,30,127
"CL","JUAN DE LEDESMA",111,"JUAN DE LEDESMA 111",41,41091,10,128
"CL","CONCEJAL ALBERTO JIMENEZ-BECERRIL",,"CONCEJAL ALBERTO JIMENEZ-BECERRIL ",41,41091,13,129
"CL","SALVADOR DALI",8,"SALVADOR DALI 8",41,41091,86,130
"CL","PAGES DEL CORRO",43,"PAGES DEL CORRO 43",41,41091,56,131
"CL","PUEBLA DE CAZALLA",15,"PUEBLA DE CAZALLA 15",41,41091,5,132
"BD","NUESTRA SEÑORA DE LA OLIVA",38,"NUESTRA SEÑORA DE LA OLIVA 38",41,41091,9,133
"CL","LUIS FUENTES BEJARANO  RES. 4 TORRES",37,"LUIS FUENTES BEJARANO  RES. 4 TORRES 37",41,41091,3,134
"PZ","OTELO",12,"OTELO 12",41,41091,3,135
"CL","NUESTRA SEÑORA DE LA PAZ",4,"NUESTRA SEÑORA DE LA PAZ 4",41,41091,3,136
"CL","PUERTO RICO",53,"PUERTO RICO 53",41,41091,9,137
"CL","JOSE MARIA MORENO GALVAN",18,"JOSE MARIA MORENO GALVAN 18",41,41091,39,138
"CL","TOLEDO",7,"TOLEDO 7",41,41091,119,139
"PZ","DE LA ARALIA -BLOQUE A-1",0,"DE LA ARALIA -BLOQUE A-1 0",41,41091,1,140
,"AVDA DE FELIPE II",,"AVDA DE FELIPE II ",41,41091,1,141
"CL","JUAN DE PINEDA",47,"JUAN DE PINEDA 47",41,41091,3,142
"CL","EVANGELISTA",14,"EVANGELISTA 14",41,41091,102,143
"CL","PADRE PEDRO AYALA",50,"PADRE PEDRO AYALA 50",41,41091,24,144
,"CL MAESTRO GURIDI 3  4 D",,"CL MAESTRO GURIDI 3  4 D ",41,41091,1,145
"CL","COJINETE SECTOR A",0,"COJINETE SECTOR A 0",41,41091,1,146
"CL","MARQUES DE NERVION",108,"MARQUES DE NERVION 108",41,41091,20,147
"CL","FERIA",4,"FERIA 4",41,41091,108,148
"CL","PEREZ HERVAS",4,"PEREZ HERVAS 4",41,41091,25,149
"UR","HABITAT,71(CONJUNTO RESIDENCIAL)",,"HABITAT,71(CONJUNTO RESIDENCIAL) ",41,41091,1,150
"AV","DE LA PAZ",107,"DE LA PAZ 107",41,41091,40,151
"CL","TIBURON",,"TIBURON ",41,41091,2,152
"CL","ESTRELLA SIRIO",17,"ESTRELLA SIRIO 17",41,41091,34,153
"CL","GUADIAMAR",14,"GUADIAMAR 14",41,41091,36,154
"CL","CIUDAD DE ONTENIENTE",1,"CIUDAD DE ONTENIENTE 1",41,41091,46,155
"CL","CONDE DE CIFUENTES",4,"CONDE DE CIFUENTES 4",41,41091,10,156
"CL","DUQUE DE MONTEMAR",15,"DUQUE DE MONTEMAR 15",41,41091,34,157
"CL","CARRETERA DE CARMONA",49,"CARRETERA DE CARMONA 49",41,41091,66,158
"CL","NOCHE DE VERANO",11,"NOCHE DE VERANO 11",41,41091,1,159
"CL","BEATRIZ DE AHUMADA",57,"BEATRIZ DE AHUMADA 57",41,41091,2,160
"CL","ALCALDE ISACIO CONTRERAS",2,"ALCALDE ISACIO CONTRERAS 2",41,41091,81,161
"CL","CARDENAL ILUNDAIN",24,"CARDENAL ILUNDAIN 24",41,41091,293,162
"CL","FELICIANA ENRIQUEZ",5,"FELICIANA ENRIQUEZ 5",41,41091,7,163
"CL","CARDENAL LLUCH",50,"CARDENAL LLUCH 50",41,41091,4,164
"CL","CANDELARIO",,"CANDELARIO ",41,41091,20,165
"CL","GRAVINA",13,"GRAVINA 13",41,41091,67,166
"CL","PEDRO DE VALDIVIA",27,"PEDRO DE VALDIVIA 27",41,41091,5,167
"CL","MARQUES DE NERVION",25,"MARQUES DE NERVION 25",41,41091,20,168
"CL","TABLADILLA",3,"TABLADILLA 3",41,41091,117,169
"CL","CIUDAD DE GODELLA",3,"CIUDAD DE GODELLA 3",41,41091,19,170
"CL","PORVENIR",14,"PORVENIR 14",41,41091,170,171
"CL"," BRUJULA",92," BRUJULA 92",41,41091,3,172
"CL","FINLANDIA",2,"FINLANDIA 2",41,41091,127,173
"CL","MALASIA",1,"MALASIA 1",41,41091,9,174
"CL","ASUNCION",37,"ASUNCION 37",41,41091,34,175
"CL","DINASTIA MUSICOS PALATIN",7,"DINASTIA MUSICOS PALATIN 7",41,41091,50,176
"CL","ESCULTOR SEBASTIAN SANTOS-CJTO",3,"ESCULTOR SEBASTIAN SANTOS-CJTO 3",41,41091,2,177
"CL","PADRE JOSE SEBASTIAN BANDARAN",7,"PADRE JOSE SEBASTIAN BANDARAN 7",41,41091,302,178
"CL","PACHECO Y NUÑEZ DEL PRADO",30,"PACHECO Y NUÑEZ DEL PRADO 30",41,41091,10,179
"CL","PUEBLA INFANTES",65,"PUEBLA INFANTES 65",41,41091,1,180
"CL","AMOR",16,"AMOR 16",41,41091,71,181
"AV","DE JEREZ",17,"DE JEREZ 17",41,41091,8,182
"CL","SAN JUAN BOSCO",35,"SAN JUAN BOSCO 35",41,41091,26,183
"CL","ASENSIO Y TOLEDO",33,"ASENSIO Y TOLEDO 33",41,41091,3,184
"CL","JESUS DEL GRAN PODER",73,"JESUS DEL GRAN PODER 73",41,41091,95,185
"CL","PUREZA",,"PUREZA ",41,41091,4,186
"CL","JUAN DE ASTORGA",18,"JUAN DE ASTORGA 18",41,41091,1,187
"CL","FARMACEUTICO E. MURILLO HERRERA",24,"FARMACEUTICO E. MURILLO HERRERA 24",41,41091,19,188
"CL","BURDEOS",43,"BURDEOS 43",41,41091,5,189
"AV","HOLANDA",5,"HOLANDA 5",41,41091,13,190
"AV","JUAN PEREDA PILA",25,"JUAN PEREDA PILA 25",41,41091,1,191
"CL","CODORNIZ",7,"CODORNIZ 7",41,41091,14,192
"CL","SAN VICENTE DE PAUL",54,"SAN VICENTE DE PAUL 54",41,41091,94,193
"CL","CASTILLO DE ALCALA DE GUADAIRA",21,"CASTILLO DE ALCALA DE GUADAIRA 21",41,41091,27,194
"CL","ROJAS ZORRILLA",18,"ROJAS ZORRILLA 18",41,41091,6,195
"CL","ALFAQUEQUE",18,"ALFAQUEQUE 18",41,41091,34,196
"AV","CIUDAD DE CHIVAS",6,"CIUDAD DE CHIVAS 6",41,41091,3,197
"PQ","CUATROTORRES",1,"CUATROTORRES 1",41,41091,1,198
"CL","SORDA",9,"SORDA 9",41,41091,17,199
"CL","TRASTAMARA",31,"TRASTAMARA 31",41,41091,2,200
"CL","FERNAN CABALLERO",2,"FERNAN CABALLERO 2",41,41091,1,201
"AV","CARLOS MARX ED. AMATE I BLOQUE",0,"CARLOS MARX ED. AMATE I BLOQUE 0",41,41091,1,202
"CL","ALCALDE MANUEL DEL VALLE-E.CAN",0,"ALCALDE MANUEL DEL VALLE-E.CAN 0",41,41091,2,203
"CL","PEZ MARTILLO",117,"PEZ MARTILLO 117",41,41091,32,204
"CL","PERAL",18,"PERAL 18",41,41091,35,205
"ZZ","NUCLEO SANTA ISABEL",4,"NUCLEO SANTA ISABEL 4",41,41091,4,206
,"SAN JUAN BOSCO,25-2 000000,",,"SAN JUAN BOSCO,25-2 000000, ",41,41091,1,207
"CL","BARRAU",9,"BARRAU 9",41,41091,45,208
"CL","FLOR DE PAPEL",11,"FLOR DE PAPEL 11",41,41091,1,209
"CL","ARCOS",15,"ARCOS 15",41,41091,12,210
"CL","PINO-TORREBLANCA",19,"PINO-TORREBLANCA 19",41,41091,4,211
"CL","ARFE",11,"ARFE 11",41,41091,16,212
"CL","DIVINA PASTORA",14,"DIVINA PASTORA 14",41,41091,25,213
"AV","DE LAS CIENCIAS",2,"DE LAS CIENCIAS 2",41,41091,89,214
"AV","JEREZ URB ITALICA ISABELI",40,"JEREZ URB ITALICA ISABELI 40",41,41091,1,215
"CL","PARQUE DE DOºANA",4,"PARQUE DE DOºANA 4",41,41091,5,216
"CL","PUREZA",12,"PUREZA 12",41,41091,48,217
"CL","VIRGEN DE LA ANTIGUA",22,"VIRGEN DE LA ANTIGUA 22",41,41091,90,218
"CL","PERAFAN DE RIVERA",12,"PERAFAN DE RIVERA 12",41,41091,24,219
"CL","MARIA AUXILIADORA",18,"MARIA AUXILIADORA 18",41,41091,89,220
"BO","SAN DIEGO",32,"SAN DIEGO 32",41,41091,4,221
"CL","PARQUE DE DOºANA D, 27",2,"PARQUE DE DOºANA D, 27 2",41,41091,1,222
"CL","DOCTOR FRANCISCO LOSCERTALES",2,"DOCTOR FRANCISCO LOSCERTALES 2",41,41091,9,223
"CL","ARGENTARIO 4 BAJO",0,"ARGENTARIO 4 BAJO 0",41,41091,1,224
"GR","RUBEN DARIO",,"RUBEN DARIO ",41,41091,22,225
"AV","PINO MONTANO",128,"PINO MONTANO 128",41,41091,35,226
"CL","CANALEJAS",10,"CANALEJAS 10",41,41091,46,227
"CL","OSCAR CARVALLO",16,"OSCAR CARVALLO 16",41,41091,20,228
"CL","HELICE",12,"HELICE 12",41,41091,5,229
"CL","HIGUERA DE LA SIERRA",,"HIGUERA DE LA SIERRA ",41,41091,1,230
"CL","PARRA",25,"PARRA 25",41,41091,2,231
"CL","TORRES",14,"TORRES 14",41,41091,11,232
"CL","CASTILLO DE LAS GUARDAS",17,"CASTILLO DE LAS GUARDAS 17",41,41091,1,233
"CL","JUAN DE JUANES",3,"JUAN DE JUANES 3",41,41091,105,234
"CL","PERSEFONE",,"PERSEFONE ",41,41091,15,235
"CL","LEON XIII",12,"LEON XIII 12",41,41091,54,236
"PP","EUROPA",10,"EUROPA 10",41,41091,4,237
"CL","MARQUES DE PICKMAN",55,"MARQUES DE PICKMAN 55",41,41091,11,238
"CL","EXTREMADURA",25,"EXTREMADURA 25",41,41091,4,239
,"GRL MTEZ VARA DEL REY 3 B-B",,"GRL MTEZ VARA DEL REY 3 B-B ",41,41091,1,240
"GR","VIRGEN DE GRACIA",6,"VIRGEN DE GRACIA 6",41,41091,8,241
"CL","LAERTES",24,"LAERTES 24",41,41091,3,242
"AV","MANUEL SIUROT",3,"MANUEL SIUROT 3",41,41091,349,243
,"CL JUAN DIAZ DE SOLIS 7  2   A",,"CL JUAN DIAZ DE SOLIS 7  2   A ",41,41091,1,244
"UR","PARQUE FLORES II FASE",,"PARQUE FLORES II FASE ",41,41091,3,245
"CL","LUIS FUENTES BEJARANO",1,"LUIS FUENTES BEJARANO 1",41,41091,40,246
"AV","AZORIN",9,"AZORIN 9",41,41091,1,247
"AV","BARZOLA (DE LA)",26,"BARZOLA (DE LA) 26",41,41091,39,248
"CL","FLOR DE TOMILLO",1,"FLOR DE TOMILLO 1",41,41091,72,249
"UR","CIUDAD VERDE",247,"CIUDAD VERDE 247",41,41091,5,250
"CL","TORRE DE ARCAS",11,"TORRE DE ARCAS 11",41,41091,2,251
"CL","LOS ROMEROS",2,"LOS ROMEROS 2",41,41091,14,252
"CL","PADRE JOSE SEBASTIAN BANDARAN",8,"PADRE JOSE SEBASTIAN BANDARAN 8",41,41091,130,253
"CL","ANTOÃªITA COLOME",1,"ANTOÃªITA COLOME 1",41,41091,1,254
"CL","ESPINOSA Y CARCEL",28,"ESPINOSA Y CARCEL 28",41,41091,100,255
"AV","DE LAS CIENCIAS",9,"DE LAS CIENCIAS 9",41,41091,41,256
"AV","VIRGEN DE LA ESPERANZA",33,"VIRGEN DE LA ESPERANZA 33",41,41091,47,257
"CL","BRISA",13,"BRISA 13",41,41091,3,258
"CL","FERNANDEZ DE RIBERA",40,"FERNANDEZ DE RIBERA 40",41,41091,29,259
"CL","FLOR DE AZALEA",2,"FLOR DE AZALEA 2",41,41091,42,260
"CL","ARGANTONIO",10,"ARGANTONIO 10",41,41091,71,261
"CL","LEON XIII",14,"LEON XIII 14",41,41091,49,262
"CL","CLEMENTINAS",5,"CLEMENTINAS 5",41,41091,54,263
"CL","PORVENIR",40,"PORVENIR 40",41,41091,19,264
"CL","LUIS DE MORALES",1,"LUIS DE MORALES 1",41,41091,141,265
"CL","DIEGO DE ALMAGRO",10,"DIEGO DE ALMAGRO 10",41,41091,102,266
"AV","PINO MONTANO (DE)",21,"PINO MONTANO (DE) 21",41,41091,30,267
"AV","EDUARDO DATO",43,"EDUARDO DATO 43",41,41091,78,268
"CL","FRAY FRANCISCO DE PAREJA",5,"FRAY FRANCISCO DE PAREJA 5",41,41091,4,269
"CL","ITACA",42,"ITACA 42",41,41091,3,270
"AV","EL GRECO",24,"EL GRECO 24",41,41091,3,271
,"PRESIDENTE CARRERO BLANCO 16 1",,"PRESIDENTE CARRERO BLANCO 16 1 ",41,41091,1,272
"CL","ANA DE JESUS",4,"ANA DE JESUS 4",41,41091,6,273
,"CIUDAD DE PATERNA,2-PTA-8",,"CIUDAD DE PATERNA,2-PTA-8 ",41,41091,1,274
"CL","HEBRON",8,"HEBRON 8",41,41091,32,275
"CL","NUEVA BELLAVISTA",9,"NUEVA BELLAVISTA 9",41,41091,13,276
"CL","JOSE MUÑOZ SAN ROMAN",13,"JOSE MUÑOZ SAN ROMAN 13",41,41091,29,277
"PZ","MOLVIEDRO RES. TARTESSOS",1,"MOLVIEDRO RES. TARTESSOS 1",41,41091,2,278
"CL","MARRUECOS",2,"MARRUECOS 2",41,41091,47,279
"CL","ARROYO",56,"ARROYO 56",41,41091,180,280
,"FORMENTOR                       004",,"FORMENTOR                       004 ",41,41091,2,281
"AV","EMILIO LEMUS",23,"EMILIO LEMUS 23",41,41091,1,282
"CL","SORIA",26,"SORIA 26",41,41091,1,283
"CL","CICERON",8,"CICERON 8",41,41091,4,284
"CL"," LOS PRINCIPES",7," LOS PRINCIPES 7",41,41091,3,285
"CL","PUEBLA DE LOS INFANTES",1,"PUEBLA DE LOS INFANTES 1",41,41091,5,286
"CL","PROSPERIDAD",44,"PROSPERIDAD 44",41,41091,12,287
"AV","MUJER TRABAJADORA (DE LA)",38,"MUJER TRABAJADORA (DE LA) 38",41,41091,1,288
"CL","RAFAEL CALVO",10,"RAFAEL CALVO 10",41,41091,20,289
"PZ","REY AURELIO",6,"REY AURELIO 6",41,41091,18,290
"CL","FRAY LUIS DE LEON",16,"FRAY LUIS DE LEON 16",41,41091,5,291
,"BIZANCIO 2,2,D",,"BIZANCIO 2,2,D ",41,41091,1,292
"PZ","SAN GABRIEL",3,"SAN GABRIEL 3",41,41091,22,293
,"AFAN DE RIVERA, 40",,"AFAN DE RIVERA, 40 ",41,41091,1,294
"AV","DE LAS CINCIAS",7,"DE LAS CINCIAS 7",41,41091,1,295
"CL","CLAUDIO GUERIN",13,"CLAUDIO GUERIN 13",41,41091,109,296
,"LUIS DE MORALES S/N ESTAD",,"LUIS DE MORALES S/N ESTAD ",41,41091,1,297
"CL","ENRIQUE FLORES",3,"ENRIQUE FLORES 3",41,41091,2,298
"CL","AJIMEZ",4,"AJIMEZ 4",41,41091,96,299
"PZ","DE AZAHIN",6,"DE AZAHIN 6",41,41091,8,300
," CL.VIRGENDELAANTIGUA,18-",," CL.VIRGENDELAANTIGUA,18- ",41,41091,1,301
"CL","MEDINA DEL CAMPO",30,"MEDINA DEL CAMPO 30",41,41091,2,302
"CL","LEIRIA",23,"LEIRIA 23",41,41091,30,303
"CL","BARRAU 11 4 C",,"BARRAU 11 4 C ",41,41091,1,304
"CL","STA MARIA DEL ROBLEDO",5,"STA MARIA DEL ROBLEDO 5",41,41091,1,305
,"REAL DE LA JARA 2-A",,"REAL DE LA JARA 2-A ",41,41091,1,306
"CL","PLAYA DE ESTEPONA",3,"PLAYA DE ESTEPONA 3",41,41091,47,307
,"RESOLANA 7 3",,"RESOLANA 7 3 ",41,41091,1,308
"CL","RAFAEL ALBERTI",16,"RAFAEL ALBERTI 16",41,41091,114,309
"CL","FRAY LUIS DE LEON",20,"FRAY LUIS DE LEON 20",41,41091,3,310
"CL","PADRE DAMIAN",10,"PADRE DAMIAN 10",41,41091,27,311
"PZ","VICENTE GALLEGO",1,"VICENTE GALLEGO 1",41,41091,13,312
"CL","ALCALDE JUAN FERNANDEZ",23,"ALCALDE JUAN FERNANDEZ 23",41,41091,16,313
"CL","CUEVA DEL GATO",3,"CUEVA DEL GATO 3",41,41091,335,314
"CL","FLORENCIA",1,"FLORENCIA 1",41,41091,31,315
,"EXTREMADURA                     041",,"EXTREMADURA                     041 ",41,41091,1,316
,"GRAL L ALARCON DE LASTRA 14",,"GRAL L ALARCON DE LASTRA 14 ",41,41091,1,317
,"RICARDO PALMA 8 A",,"RICARDO PALMA 8 A ",41,41091,1,318
"CL","FAUNO",13,"FAUNO 13",41,41091,7,319
"CL","ALBERCHE",15,"ALBERCHE 15",41,41091,21,320
"CL"," CL.EL BARBERO SEVILLA",2," CL.EL BARBERO SEVILLA 2",41,41091,1,321
"CL","DUQUE CORNEJO",42,"DUQUE CORNEJO 42",41,41091,24,322
"PZ","DE LA ROMERIA",4,"DE LA ROMERIA 4",41,41091,40,323
"CL","MESON DE LOS CABALLEROS",4,"MESON DE LOS CABALLEROS 4",41,41091,9,324
"AV","EMILIO LEMOS",15,"EMILIO LEMOS 15",41,41091,37,325
