TIPO_VIA,NOMBRE_VIA,NUM_PORTAL,MUNICIPIO,PROVINCIA,NOMBRE,CÓDIGO POSTAL,TELÉFONO 1,EMAIL
,FINCA SAN JOSE CTRA SAN BENITO ,S/N,LEBRIJA,SEVILLA,FEDERACION DE ASOCIACIONES DE MUJERES DEL BAJO GUADALQUIVIR,41740,955869100,ROSALIAMORENOT@BAJOGUADALQUIVIR.ORG
PLAZA,ANGUSTIAS,S/N,NIGUELAS,GRANADA,FEDERACIÓN DE ASOCIACIONES DE MUJERES DEL VALLE DE LECRÍN,18657,661025075,
CALLE,SAN ROQUE PLCET PICADERO,S/N,JIMENA FRONTERA,CADIZ,FEDERACIÓN DE ASOCIACIONES DE MUJERES EL DESPERTAR,11340,956 618578,ELDESPERTAR2@HOTMAIL.COM
,URBANIZACION SAN FRANCISCO,1,ALGECIRAS,CADIZ,FEDERACIÓN DE ASOCIACIONES DE MUJERES EMPRENDEDORAS (FAME),11203,956655239,FAMEALGECIRAS@HOTMAIL.COM
PQUE,GUADALTEBA,,CAMPILLOS,MALAGA,FEDERACIÓN DE ASOCIACIONES DE MUJERES PEÑARRUBIA,29320,952713459,CIM@GUADALTEBA.COM
CALLE,DEHESA,80,PIZARRA,MALAGA,FEDERACIÓN DE ASOCIACIONES POR LA IGUALDAD DE GÉNERO EN EL VALLE DEL GUADALHORCE, GUADALHORCE EQUILIBRA,29560,952483868,FEDERACIONEQUILIBRA@HOTMAIL.COM
CALLE,SAN ISIDRO,3,JEREZ FRONTERA,CADIZ,FEDERACION DE ASOCIACIONES Y COLECTIVOS DE MUJERES DE LA COMARCA RURAL DE JEREZ SOL RURAL,11593,680447823,SOLRURAL@MIXMAIL.COM
,ALMOLA BOQUERON,10,GRANADA,GRANADA,FEDERACION DE EMPRESARIAS GRANADINAS (FEG),18001,958804763,FEG.SECRETARIATECNICA@HOTMAIL.COM
CALLE,SANTA CLARA,8,SEVILLA,SEVILLA,FEDERACIÓN DE MUJERES PROGRESISTAS DE ANDALUCÍA,41002,,
PLAZA,LARGA,1,PURCHENA,ALMERIA,FEDERACION MUJERES DEL ALMANZORA X LA IGUALDAD,4870,662595315,ALFONDELA@HOTMAIL.COM   ADELA.SEGURA.EXT@JUNTADEANDALUCIA.ES
,COSANO,8,CORDOBA,CORDOBA,FEDERACIÓN LOCAL DE ASOCIACIÓNMUJERES ORILLAS DEL GENIL,14500,647862831,
CALLE,NUESTRO PADRE JESUS PIEDAD,S/N,JAEN,JAEN,FEDERACION PROVINCIAL DE ASOCIACIONES DE MUJERES DE JAEN,23002,953229172,LUNAJAEN11@HOTMAIL.COM
CALLE,SAN JACINTO,7,MALAGA,MALAGA,FEDERACIÓN PROVINCIAL DE ASOCIACIONES DE MUJERES DE MÁLAGA  AGORA,29007,676030719,INFO@FEDERACIONAGORA.ORG.ES
AVDA,CONSTITUCION,27,GRANADA,GRANADA,FEDERACIÓN PROVINCIAL DE ASOCIACIONES DE MUJERES MARÍA LEJÁRRAGA,18014,678583942,MARIALEJARRAGA1@HOTMAIL.COM
CALLE,MARQUES ENSENADA,11,CADIZ,CADIZ,FEDERACIÓN PROVINCIAL DE CONSUMIDORES Y AMAS DE CASA GADIR-AL ANDALUS,11008,956291478,FEDGADIR@TERRA.ES
,GRANADA,,,,FUNDACION VINCULO,,958221384,
CALLE,OBISPO FITERO,9,CORDOBA,CORDOBA,PLATAFORMA ANDALUZA APOYO AL LOBBY EUROPEO,14001,957473237,PLATAFORMA@MUJERESLOBBY.ORG
CALLE,SAN JUAN BOSCO,65,MALAGA,MALAGA,PLATAFORMA CONTRA LOS MALOS TRATOS A MUJERES  VIOLENCIA CERO,29014,952082214,ANGELANEREA@HOTMAIL.COM
