"T_NUM_EXP";"T_TITULO";"T_DESCRIPCION";"C_UNI_ORG_ENVIA";"D_OBJETO";"F_ENTRADA_FASE";"C_IDPROD_CATALOGO";"N_UNIDADES_PROD";"N_PRECIO_PROD";"L_OFERTA_PUNTUAL";"D_FORMA_ADJ";"N_IMPORTE"
"000021/2014/EIAOPJA/CAT";"RENOVACIÓN DE ESTACVIONES DE TRABAJO PC";"Adquisición de equipos PC para sustitución de equipos obsoletos.";"EIAOPJA";"Suministro";09/01/14;"321291104391";20;31,46;"N";"Otras formas de ejecución";38380,6
"000021/2014/EIAOPJA/CAT";"RENOVACIÓN DE ESTACVIONES DE TRABAJO PC";"Adquisición de equipos PC para sustitución de equipos obsoletos.";"EIAOPJA";"Suministro";09/01/14;"321291104391";30;31,46;"N";"Otras formas de ejecución";38380,6
"000021/2014/EIAOPJA/CAT";"RENOVACIÓN DE ESTACVIONES DE TRABAJO PC";"Adquisición de equipos PC para sustitución de equipos obsoletos.";"EIAOPJA";"Suministro";09/01/14;"321291104591";20;167,86;"N";"Otras formas de ejecución";38380,6
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321130100121";6;744,15;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131002890";6;75,5;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131002910";5;14,52;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131002940";6;65,58;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131002960";6;22,99;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131002980";6;42,35;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131003000";5;99,7;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131003030";12;53,6;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131003040";12;33,88;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131003050";6;141,57;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131003110";6;59,17;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131101521";4;-4,84;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131102861";6;92,93;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131103061";6;114,95;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131103121";6;79,86;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321130100121";6;744,15;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131002890";6;75,5;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131002910";5;14,52;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131002940";6;65,58;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131002960";6;22,99;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131002980";6;42,35;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131003000";5;99,7;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131003030";12;53,6;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131003040";12;33,88;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131003050";6;141,57;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131003110";6;59,17;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131101521";4;-4,84;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131102861";6;92,93;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131103061";6;114,95;"N";"Contrato Menor";10235,8
"002202/2013/CEIC-AAE-SG/CAT";"RENOVACION PORTATILES OBSOLETOS";"RENOVACION PORTATILES OBSOLETOS";"CEIC-AAESG";"Suministro";09/01/14;"321131103121";6;79,86;"N";"Contrato Menor";10235,8
"000026/2014/IMABIS/CAT";"MODIFICACION CINF 27 2013";"AMPLIACION DEL NUMERO DE ACCESORIOS ADEMAS SE  AÑADE EL ARTICULO DE REFERENCIA 320151023830 Y SE ELIMINA EL ARTICULO DE REFERENCIA 320151023820";"IMABIS";"Suministro";10/01/14;"";;;"N";"Contrato Menor";0
"000026/2014/IMABIS/CAT";"MODIFICACION CINF 27 2013";"AMPLIACION DEL NUMERO DE ACCESORIOS ADEMAS SE  AÑADE EL ARTICULO DE REFERENCIA 320151023830 Y SE ELIMINA EL ARTICULO DE REFERENCIA 320151023820";"IMABIS";"Suministro";10/01/14;"";;;"N";"Contrato Menor";0
"000028/2014/IMABIS/CAT";"MODIFICACION EXPDTE CINF 27 2013 ";"MODIFICACION EXPDTE CING 27 2013 POR NECESIDAD DE DUPLICAR EL NUMERO DE ACCESORIOS  Y SE ELIMINA EL ARTICULO DE REFERENCIA 320151023820";"IMABIS";"Obra";10/01/14;"";;;"N";"Encargo de ejecución";0
"000014/2014/CJI/CAT";"SUMINISTRO DE FOTOCOPIADORAS, PARA LA UNIDAD DE POLICIA ADSCRITA.";"";"CJI";"Suministro";13/01/14;"";;;"S";"Contrato Menor";21113,1
"000014/2014/CJI/CAT";"SUMINISTRO DE FOTOCOPIADORAS, PARA LA UNIDAD DE POLICIA ADSCRITA.";"";"CJI";"Suministro";13/01/14;"";;;"S";"Contrato Menor";21113,1
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321090100090";1;992,2;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091002430";1;30,4;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091002470";1;28,86;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091102361";1;111,26;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091102641";1;127,13;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321090100090";1;992,2;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091002430";1;30,4;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091002470";1;28,86;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091102361";1;111,26;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091102641";1;127,13;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321090100090";1;992,2;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091002430";1;30,4;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091002470";1;28,86;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091102361";1;111,26;"N";"Contrato Menor";1289,85
"000031/2014/EIEPTD/CAT";"ADQUISICION DE UN MICROORDENADOR PORTATIL CON OPCIONES Y ACCESORIOS PARA LA SEDE ESTADIO OLIMPICO SEVILLA DE LA RAMA ACTIVIDAD TURISTICA EPGTDA";"";"EIEPTD";"Suministro";14/01/14;"321091102641";1;127,13;"N";"Contrato Menor";1289,85
"000042/2014/CSBS/CAT";"d.t. Huelva. Adquisición 20 ordenadores";"";"CSBS";"Suministro";16/01/14;"321090100030";20;556,6;"N";"Contrato Menor";11132
"000042/2014/CSBS/CAT";"d.t. Huelva. Adquisición 20 ordenadores";"";"CSBS";"Suministro";16/01/14;"321090100030";20;556,6;"N";"Contrato Menor";11132
"000042/2014/CSBS/CAT";"d.t. Huelva. Adquisición 20 ordenadores";"";"CSBS";"Suministro";16/01/14;"321090100030";20;556,6;"N";"Contrato Menor";11132
"000048/2014/CHAPDGPD/CAT";"Prueba";"";"CHAPDGPD";"Suministro";17/01/14;"321140101480";1;366,63;"N";"Contrato Menor";366,63
"000010/2014/CHAPDGPD/CAT";"Prueba";"";"CHAPDGPD";"Suministro";17/01/14;"";;;"N";"Contrato Menor";0
"000048/2014/CHAPDGPD/CAT";"Prueba";"";"CHAPDGPD";"Suministro";17/01/14;"321140101480";1;366,63;"N";"Contrato Menor";366,63
"000050/2014/CSBS-EPES/CAT";"Suministro de Terminales ligeros y PC's de CBH";"Suministro de Terminales ligeros y PC's de CBH";"CSBS-EPES";"Suministro";17/01/14;"321150100241";120;272,25;"N";"Procedimiento abierto (LCSP)";62327,1
"000050/2014/CSBS-EPES/CAT";"Suministro de Terminales ligeros y PC's de CBH";"Suministro de Terminales ligeros y PC's de CBH";"CSBS-EPES";"Suministro";17/01/14;"321150100301";19;453,75;"N";"Procedimiento abierto (LCSP)";62327,1
"000050/2014/CSBS-EPES/CAT";"Suministro de Terminales ligeros y PC's de CBH";"Suministro de Terminales ligeros y PC's de CBH";"CSBS-EPES";"Suministro";17/01/14;"321151007590";120;38,72;"N";"Procedimiento abierto (LCSP)";62327,1
"000050/2014/CSBS-EPES/CAT";"Suministro de Terminales ligeros y PC's de CBH";"Suministro de Terminales ligeros y PC's de CBH";"CSBS-EPES";"Suministro";17/01/14;"321151007620";31;7,26;"N";"Procedimiento abierto (LCSP)";62327,1
"000050/2014/CSBS-EPES/CAT";"Suministro de Terminales ligeros y PC's de CBH";"Suministro de Terminales ligeros y PC's de CBH";"CSBS-EPES";"Suministro";17/01/14;"321151007700";120;21,78;"N";"Procedimiento abierto (LCSP)";62327,1
"000050/2014/CSBS-EPES/CAT";"Suministro de Terminales ligeros y PC's de CBH";"Suministro de Terminales ligeros y PC's de CBH";"CSBS-EPES";"Suministro";17/01/14;"321151010040";19;24,2;"N";"Procedimiento abierto (LCSP)";62327,1
"000050/2014/CSBS-EPES/CAT";"Suministro de Terminales ligeros y PC's de CBH";"Suministro de Terminales ligeros y PC's de CBH";"CSBS-EPES";"Suministro";17/01/14;"321151010120";19;90,75;"N";"Procedimiento abierto (LCSP)";62327,1
"000050/2014/CSBS-EPES/CAT";"Suministro de Terminales ligeros y PC's de CBH";"Suministro de Terminales ligeros y PC's de CBH";"CSBS-EPES";"Suministro";17/01/14;"321151010250";19;12,1;"N";"Procedimiento abierto (LCSP)";62327,1
"000050/2014/CSBS-EPES/CAT";"Suministro de Terminales ligeros y PC's de CBH";"Suministro de Terminales ligeros y PC's de CBH";"CSBS-EPES";"Suministro";17/01/14;"321151010340";19;137,94;"N";"Procedimiento abierto (LCSP)";62327,1
"000050/2014/CSBS-EPES/CAT";"Suministro de Terminales ligeros y PC's de CBH";"Suministro de Terminales ligeros y PC's de CBH";"CSBS-EPES";"Suministro";17/01/14;"321151010410";19;50,82;"N";"Procedimiento abierto (LCSP)";62327,1
"000050/2014/CSBS-EPES/CAT";"Suministro de Terminales ligeros y PC's de CBH";"Suministro de Terminales ligeros y PC's de CBH";"CSBS-EPES";"Suministro";17/01/14;"321151107531";48;157,3;"N";"Procedimiento abierto (LCSP)";62327,1
"000049/2014/CHAPDGPD/CAT";"prueba";"prueba";"CHAPDGPD";"Suministro";17/01/14;"";;;"N";"Procedimiento abierto (LCSP)";0
"000278/2010/CICE-AGAE-SG/CAT";"COMPRA PORTATILES HP";"COMPRA 4 PORTATILES GRANDES Y 1 ULTRALIGERO.;;;;;;;;;
PRODUCTOS QUE NO APARECEN EN EL LISTADO:;;;;;;;;;;;
- ";"CICE-AGAE-SG";"Suministro";20/01/14;"30711810083601";5;126;"N";"Contrato Menor";722;;
"000278/2010/CICE-AGAE-SG/CAT";"COMPRA PORTATILES HP";"COMPRA 4 PORTATILES GRANDES Y 1 ULTRALIGERO.;;;;;;;;;
PRODUCTOS QUE NO APARECEN EN EL LISTADO:;;;;;;;;;;;
- ";"CICE-AGAE-SG";"Suministro";20/01/14;"30711810087101";1;12;"N";"Contrato Menor";722;;
"000075/2014/CEICE-SGT/CAT";"SUMINISTRO DE UN (1) MICROORDENADOR CON DESTINO A LA CONSEJERÍA DE ECONOMÍA, INNOVACIÓN, CIENCIA Y EMPLEO";"SUMINISTRO DE UN (1) MICROORDENADOR CON DESTINO A LA CONSEJERÍA DE ECONOMÍA, INNOVACIÓN, CIENCIA Y EMPLEO";"CEICE-SGT";"Suministro";22/01/14;"321150100310";1;559,02;"N";"Contrato Menor";911,13
