"ID de respuesta","Fecha de envío","Última página","Lenguaje inicial","Fecha de inicio","Fecha de la última acción","Dirección IP","URL de referencia","Indique a qué organismo está asociado en el servicio","Rol que ocupa en su organización con respecto al Servicio Corporativo Oracle","¿Cubre el Servicio Corporativo Oracle sus necesidades en cuestión de licencias de productos?","¿Le resulta útil la base de conocimientos de My Oracle Support para encontrar soluciones Vd. mismo?","¿Qué nivel medio de calidad de servicio ha recibido en la resolución de SR?","Valore de forma global el nivel de servicio ofrecido por Soporte Básico, My Oracle Support","Haznos llegar cualquier observación relativa al soporte básico y/o su herramienta (MOS)","Evalúe la relación con el gestor de cuenta asignado a su organismo","Capacitación/conocimientos técnicos del equipo de ingenieros Oracle en la tecnología Oracle utilizada en sus sistemas","Rendimiento/eficiencia del equipo de ingenieros Oracle (si responden en tiempo en relación a los hitos acordados)","Eficacia del equipo de ingenieros Oracle (si su trabajo se ajusta a los objetivos marcados y tiene un planteamiento directo, práctico y útil)","Calidad del equipo de ingenieros Oracle (si se esmeran en la calidad de los resultados)","Accesibilidad/disponibilidad del equipo de ingenieros Oracle. Facilidad de interacción y acceso al equipo técnico","Proactividad del equipo de ingenieros Oracle (envío de alertas sobre parches, propuestas de cambio, etc)","Carácter/Disposición del equipo de ingenieros Oracle (carácter, trato, nivel de motivación, etc.)","Grado de implicación en sus proyectos y nivel de conocimiento de su infraestructura por parte del equipo que presta el Servicio Corporativo Oracle","Evalúe de forma global la cualificación y actitud del equipo de ingenieros Oracle que presta servicio a su organismo","Haznos llegar cualquier observación relativa al equipo de ingenieros de Soporte Avanzado: lo que más valoras, lo que habría que mejorar, etc.","Calidad del servicio recibido en la resolución de Incidencias y Consultas por parte de Soporte Avanzado","¿Cubre el Servicio Corporativo Oracle sus necesidades en relación a las actividades que se ejecutan en los Planes de Soporte?","Calidad de servicio recibido en la ejecución de asistencias especializadas y actividades definidas en el Plan de Soporte por parte de Soporte Avanzado.","Haznos llegar cualquier observación sobre la calidad y alcance de los servicios de Soporte Avanzado, tanto reactivo (incidencias y consultas) como proactivo (planes de soporte)","¿Consideras interesantes o útiles para tu organismo las sesiones de conocimiento propuestas para el 2015?","Evalúe el nivel de servicio recibido en relación a las transferencias de conocimiento","Haznos llegar cualquier observación sobre la actividad de transferencias de conocimiento","Valore de forma global el nivel de servicio ofrecido por los servicios de Soporte Avanzado","Haznos llegar cualquier observación relativa al Soporte Avanzado en general","¿Se considera convenientemente informado sobre acceso, uso, procedimientos, herramientas, convocatorias, campañas del servicio? ¿Recibe las noticias sobre el servicio?","Evalúe la calidad de servicio en relación a si son atendidas adecuadamente sus consultas o peticiones de carácter general a la Dirección de Proyecto","Evalúe la calidad de servicio en relación a si son atendidas adecuadamente sus peticiones de Solicitud de Acceso al Servicio por parte de CAU","Comentarios generales o propuestas de mejora sobre el diseño general del servicio","En términos globales ¿Cuál es su valoración de la prestación del Servicio Corporativo Oracle en su Organismo durante el último año?","Observaciones generales sobre el servicio recibido","Tiempo total","Temporización del grupo: Organismo y Rol","Temporización de la pregunta: O1","Temporización de la pregunta: O2","Temporización del grupo: Licencias","Temporización de la pregunta: A1","Temporización del grupo: Soporte Básico (SB)","Temporización de la pregunta: BB1","Temporización de la pregunta: BB2","Temporización de la pregunta: B1","Temporización de la pregunta: B2","Temporización del grupo: Soporte Avanzado (SA) - Equipo Técnico","Temporización de la pregunta: C1","Temporización de la pregunta: CC1","Temporización de la pregunta: CC2","Temporización de la pregunta: CC3","Temporización de la pregunta: CC4","Temporización de la pregunta: CC5","Temporización de la pregunta: CC6","Temporización de la pregunta: CC7","Temporización de la pregunta: C2","Temporización de la pregunta: C3","Temporización de la pregunta: C4","Temporización del grupo: Soporte Avanzado (SA) - Servicio","Temporización de la pregunta: C5","Temporización de la pregunta: C6","Temporización de la pregunta: C7","Temporización de la pregunta: C8","Temporización de la pregunta: C9","Temporización de la pregunta: CC9","Temporización de la pregunta: C10","Temporización de la pregunta: C11","Temporización de la pregunta: C12","Temporización del grupo: General - Diseño del Servicio","Temporización de la pregunta: D1","Temporización de la pregunta: D2","Temporización de la pregunta: D3","Temporización de la pregunta: D4","Temporización del grupo: Valoración global","Temporización de la pregunta: E1","Temporización de la pregunta: E2"
"15","2015-05-18 10:36:52","7","es","2015-05-18 10:36:52","2015-05-18 10:36:52","10.226.103.12","","CECD_CUL - Consejería de Educación, Cultura y Deporte, Área de Cultura","Representante","Bastante","","","Buena","","Excelente","","","","","","","","Excelente","Buena","","Buena","Bastante","Buena","","Totalmente","","","Buena","","Bastante","Buena","Buena","","Buena","","182.78","16.72","","","37.31","","15.22","","","","","34.02","","","","","","","","","","","","44.35","","","","","","","","","","27.12","","","","","8.04","",""
"17","2015-05-18 10:38:26","7","es","2015-05-18 10:38:26","2015-05-18 10:38:26","83.41.165.135","","SAE - Servicio Andaluz de Empleo","Perfil Técnico","","Bastante","Buena","Buena","","","Buena","Normal","Buena","Buena","Normal","Regular","Normal","Regular","Normal","","Buena","Parcialmente","Normal","","Bastante","Buena","","Normal","","Bastante","Normal","","","Normal","","176.81","35.28","","","","","19.55","","","","","55.09","","","","","","","","","","","","42","","","","","","","","","","17.02","","","","","7.87","",""
"18","2015-05-18 10:39:40","7","es","2015-05-18 10:39:40","2015-05-18 10:39:40","10.240.96.91","","AIDEA - Agencia de Innovación y Desarrollo de Andalucía","Perfil Técnico","","Bastante","Buena","Buena","","","","","Buena","Buena","","Buena","Buena","Buena","Buena","","Buena","Bastante","Buena","","Bastante","Buena","","Buena","","Bastante","Buena","","","Buena","","126.76","35.53","","","","","26.12","","","","","20.76","","","","","","","","","","","","26.2","","","","","","","","","","11.68","","","","","6.47","",""
"20","2015-05-18 10:58:07","7","es","2015-05-18 10:58:07","2015-05-18 10:58:07","10.174.100.100","","ASAG - Agencia Sanitaria del Alto Guadalquivir","Perfil Técnico","","Muy poco","Excelente","Normal","Personalmente el portal MOS me resulta bastante complicado, al final siempre termino encontrando lo que necesito a través de google, básicamente utilizo MOS para abrir SRs, no como base de conocimientos.","","Excelente","Excelente","Excelente","Excelente","Normal","Buena","Excelente","Excelente","Excelente","Para mí el trabajo realizado en años anteriores con el equipo de ingenieros de Soporte Avanzado ha sido muy satisfactorio, lamento enormemente la decisión de este año por la cual los técnicos no pueden desplazarse para hacer determinadas actuaciones, y tampoco entiendo muy bien el hecho de tener que demostrar que previamente he buscado información en MOS para abrir un caso con soporte avanzado, creo que es un paso atrás muy importante, ya que determinadas actuaciones (como puede ser una subida de versión o una instalación de un catálogo de RMAN) puede resolverse con un día programado con desplazamiento del ingeniero al centro en cuestión y a través de una SR la intervención puede eternizarse, con un intercambio de correos o mensajes que hacen que la comunicación no sea tan fluida. En conclusión, creo que tanto por la parte de Soporte Avanzado como por la nuestra se pierde mucho más tiempo ""obligando"" a la resolución de problemas telemáticamente en lugar de poder (para determinados casos, evidentemente para estudiar un error no hay por qué desplazarse) desplazarse al centro y echar una jornada de trabajo.","Excelente","Parcialmente","Buena","Tal y como he comentado antes la calidad del servicio ha decaído mucho desde la decisión de prohibir los desplazamientos de los ingenieros a los centros.","Totalmente","Buena","","Buena","","Totalmente","Excelente","","","Buena","","550.08","15.7","","","","","112.11","","","","","318.12","","","","","","","","","","","","80.01","","","","","","","","","","16","","","","","8.14","",""
"21","2015-05-18 11:16:12","7","es","2015-05-18 11:16:12","2015-05-18 11:16:12","10.239.216.151","","AGAPA - Agencia de Gestión Agraria y Pesquera de Andalucía","Perfil Técnico","","Bastante","","Buena","","","Excelente","Buena","Buena","Excelente","Buena","","Excelente","Buena","Buena","","Buena","Totalmente","Buena","","Totalmente","Buena","","Buena","","Bastante","","","","Buena","","240.44","16.38","","","","","47.43","","","","","78.08","","","","","","","","","","","","55.2","","","","","","","","","","25","","","","","18.35","",""
"26","2015-05-18 11:47:16","7","es","2015-05-18 11:47:16","2015-05-18 11:47:16","10.241.252.7","","CJI_SGJ - Consejería de Justicia e Interior, Secretaría General para la Justicia","Enlace Dinamizador","Totalmente","","","Normal","Muchas veces la solución a un problema nuestro es subir de versión, lo cual es problemático para nuestras aplicaciones; otras veces es cambiar S.O. (32 a 64); o aumentar la potencia del hardware, igualmente problemático.","Buena","","","","","","","","Buena","Buena","","Normal","Bastante","Normal","","Bastante","","","Normal","","Bastante","Buena","Buena","","Normal","","680.19","8.57","","","22.63","","460.37","","","","","41.38","","","","","","","","","","","","103.85","","","","","","","","","","35.98","","","","","7.41","",""
"27","2015-05-18 12:07:31","7","es","2015-05-18 12:07:31","2015-05-18 12:07:31","10.118.85.150, 10.235.52.208","http://www.sandetel.es/calidad/index.php/survey/index/sid/378888/token/2a9avdvp3wvegtd/lang/es","SAS_SSCC - Servicio Andaluz de Salud, Servicios Centrales","Perfil Técnico","","Bastante","Buena","Excelente","","","","","","","","","","","","ninguna","","","","","","","","","","","","","","Buena","","80.31","21.19","","","","","23.01","","","","","12.34","","","","","","","","","","","","13.93","","","","","","","","","","3.17","","","","","6.67","",""
"29","2015-05-18 12:13:44","7","es","2015-05-18 12:13:44","2015-05-18 12:13:44","10.225.14.172","","CAPDER - Consejería de Agricultura, Pesca y Desarrollo Rural","Enlace Dinamizador","Bastante","","","Buena","","Excelente","","","","","","","","Excelente","Excelente","","Excelente","Bastante","Excelente","","","","","","","Totalmente","Excelente","Excelente","","Excelente","","113.81","13.27","","","14.43","","10.73","","","","","18.7","","","","","","","","","","","","26.57","","","","","","","","","","22.17","","","","","7.94","",""
"30","2015-05-18 12:18:38","7","es","2015-05-18 12:18:38","2015-05-18 12:18:38","10.225.14.72","","CAPDER - Consejería de Agricultura, Pesca y Desarrollo Rural","Perfil Técnico","","Bastante","Regular","Normal","Aunque la base de datos de conocimiento es muy potente y soluciona la mayoría de los casos que nos encontramos, la apertura de los SR es una pérdida de tiempo porque casi nunca nos solucionan el problema. El técnico asignado a la resolución del problema suele ofrecer una solución estándar que no se adapta a nuestra cuestión particular.","","Excelente","Excelente","Buena","Buena","Excelente","","","Excelente","Excelente","Sin el equipo de Ingenieros de Oracle, no habríamos sido capaces de resolver algunos de los problemas que se nos han presentado, bien porque el conocimiento de la resolución del problema no estaba publicado en el Soporte Básico/MOS, bien porque la apertura de los SR no sirvió para nada más que marearnos con su burocracia.","Buena","Totalmente","Excelente","Su respuesta a las incidencias y consultas es casi inmediata.","Bastante","","No he asistido este año a ninguna de las sesiones de transferencias de conocimiento porque eran exclusivamente del área de Bases de Datos, no de Servidores de Aplicaciones.","","","Bastante","Buena","","","Excelente","","453.87","15.13","","","","","167.36","","","","","115.51","","","","","","","","","","","","136.62","","","","","","","","","","12.93","","","","","6.32","",""
"32","2015-05-18 12:23:24","7","es","2015-05-18 12:23:24","2015-05-18 12:23:24","10.242.66.4","","VEIASA - Verificaciones Industriales de Andalucía, S.A.","Enlace Dinamizador","Muy poco","","","Mala","La herramienta no funciona correctamente en todos los navegadores. No es una herramienta intuitiva.

Respecto al soporte, tenemos la sensación de que se está más interesado en cerrar el ticket de la incidencia que en resolver la misma. 

Hoy por hoy no apreciamos ninguna ventaja al soporte que nos presta Oracle.","Normal","","","","","","","","Mala","Mala","No se nos dan soluciones. Se limita a contestar los tickets para dejar la pelota en el tejado del cliente y cerrar el ticket cuando no se recibe respuesta.","Mala","Nada","Regular","Practicamente no hay servicio.","Muy poco","","No fueron antendidas ni una de las solicitudes que propusimos desde la empresa y que nos resultaban interesantes.","Regular","","Muy poco","Mala","Mala","","Mala","","578.28","32.91","","","10.29","","198.74","","","","","226.37","","","","","","","","","","","","81.93","","","","","","","","","","18.48","","","","","9.56","",""
"34","2015-05-18 12:26:45","7","es","2015-05-18 12:26:45","2015-05-18 12:26:45","10.230.49.190","http://www.sandetel.es/calidad/index.php/378888/token/zgkgpb25taj3yud/lang/es/newtest/Y","CEICE - Consejería de Economía, Innovación, Ciencia y Empleo","Representante","Parcialmente","","","","","Buena","","","","","","","","Buena","Excelente","","","Bastante","Buena","","Bastante","","","Buena","","Parcialmente","Buena","Normal","","Buena","","206.16","24.94","","","45.3","","14.48","","","","","33.6","","","","","","","","","","","","54.8","","","","","","","","","","23.99","","","","","9.05","",""

